timestamp,sensor_id,event,details,reasons,dilution_cycle
2025-08-18T16:13:00.000000,052,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,053,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,053,Dilution Cycle Started,Cycle #1 for VAV '14',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,053,VAV Action,VAV '14' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,054,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,054,Dilution Cycle Started,Cycle #1 for VAV '11',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,054,VAV Action,VAV '11' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,055,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,055,Warming Cycle Started,Cycle #1 for VAV '10',['temp'],1
2025-08-18T16:13:00.000000,055,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,056,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,056,Dilution Cycle Started,Cycle #1 for VAV '09',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,056,VAV Action,VAV '09' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,057,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,057,Warming Cycle Started,Cycle #1 for VAV '08',['temp'],1
2025-08-18T16:13:00.000000,057,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,059,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,059,Dilution Cycle Started,Cycle #1 for VAV '01b',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,059,VAV Action,VAV '01b' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,060,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,060,Warming Cycle Started,Cycle #1 for VAV '06',['temp'],1
2025-08-18T16:13:00.000000,060,VAV Action (Warming),VAV '06' not at min. Decreasing flow setpoint by 10%,['temp'],1
2025-08-18T16:13:00.000000,062,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,062,Warming Cycle Started,Cycle #1 for VAV '05',['temp'],1
2025-08-18T16:13:00.000000,062,VAV Action (Warming),VAV '05' not at min. Decreasing flow setpoint by 10%,['temp'],1
2025-08-18T16:13:00.000000,063,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,063,Warming Cycle Started,Cycle #1 for VAV '23',['temp'],1
2025-08-18T16:13:00.000000,063,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,092,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,092,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,093,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,093,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,094,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,094,Dilution Cycle Started,Cycle #1 for VAV '36',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,094,VAV Action,VAV '36' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,095,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,095,Warming Cycle Started,Cycle #1 for VAV '34',['temp'],1
2025-08-18T16:13:00.000000,095,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,096,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,096,Dilution Cycle Started,Cycle #1 for VAV '35',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,096,VAV Action,VAV '35' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,108,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,108,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,111,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,111,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,064,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,064,Dilution Cycle Started,Cycle #1 for VAV '22',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,064,VAV Action,VAV '22' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,065,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,065,Dilution Cycle Started,Cycle #1 for VAV '31',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,065,VAV Action,VAV '31' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,066,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,066,Warming Cycle Started,Cycle #1 for VAV '30',['temp'],1
2025-08-18T16:13:00.000000,066,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,068,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,068,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,106,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,106,Dilution Cycle Started,Cycle #1 for VAV '25',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,106,VAV Action,VAV '25' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,069,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,069,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,107,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,107,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,070,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,070,Warming Cycle Started,Cycle #1 for VAV '27',['temp'],1
2025-08-18T16:13:00.000000,070,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,071,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,071,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,075,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,075,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,076,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,076,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,077,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,077,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,078,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,078,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,079,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,079,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,085,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,085,Warming Cycle Started,Cycle #1 for VAV '29',['temp'],1
2025-08-18T16:13:00.000000,085,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,087,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T16:13:00.000000,087,Branch A Skipped,No VAV mapping found,['tvoc'],1
2025-08-18T16:13:00.000000,097,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,097,Warming Cycle Started,Cycle #1 for VAV '32',['temp'],1
2025-08-18T16:13:00.000000,097,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,098,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,098,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,099,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,099,Dilution Cycle Started,Cycle #1 for VAV '37',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,099,VAV Action,VAV '37' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,119,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T16:13:00.000000,119,Dilution Cycle Started,Cycle #1 for VAV '24',['tvoc'],1
2025-08-18T16:13:00.000000,119,VAV Action,VAV '24' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T16:13:00.000000,101,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,101,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,112,Branch Routing,Pollutant alert. Routing to Branch A.,"['pm2_5', 'rh', 'temp']",0
2025-08-18T16:13:00.000000,112,Branch A Skipped,No VAV mapping found,"['pm2_5', 'rh', 'temp']",1
2025-08-18T16:13:00.000000,114,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T16:13:00.000000,114,Dilution Cycle Started,Cycle #1 for VAV '26',['tvoc'],1
2025-08-18T16:13:00.000000,114,VAV Action,VAV '26' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T16:13:00.000000,117,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,117,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:19:00.000000,046,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:19:00.000000,046,Warming Cycle Started,Cycle #1 for VAV '18',['temp'],1
2025-08-18T16:19:00.000000,046,VAV Action (Warming),VAV '18' not at min. Decreasing flow setpoint by 10%,['temp'],1
2025-08-18T16:21:00.000000,107,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T16:32:00.000000,051,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:32:00.000000,051,Warming Cycle Started,Cycle #1 for VAV '16',['temp'],1
2025-08-18T16:32:00.000000,051,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:32:00.000000,058,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:32:00.000000,058,Warming Cycle Started,Cycle #1 for VAV '01a',['temp'],1
2025-08-18T16:32:00.000000,058,VAV Action (Warming),VAV '01a' not at min. Decreasing flow setpoint by 10%,['temp'],1
2025-08-18T16:49:00.000000,107,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:49:00.000000,107,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:50:00.000000,067,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:50:00.000000,067,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:50:00.000000,086,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:50:00.000000,086,Dilution Cycle Started,Cycle #1 for VAV '28',"['tvoc', 'temp']",1
2025-08-18T16:50:00.000000,086,VAV Action,VAV '28' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:56:00.000000,086,Normalization,Dilution Successful! Pollutant levels normalized.,"",0
2025-08-18T16:58:00.000000,067,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:02:00.000000,120,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T17:02:00.000000,120,Warming Cycle Started,Cycle #1 for VAV '04',['temp'],1
2025-08-18T17:02:00.000000,120,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T17:02:00.000000,086,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T17:02:00.000000,086,Warming Cycle Started,Cycle #1 for VAV '28',['temp'],1
2025-08-18T17:02:00.000000,086,VAV Action (Warming),VAV '28' not at min. Decreasing flow setpoint by 10%,['temp'],1
2025-08-18T17:05:00.000000,086,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:12:00.000000,120,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:17:00.000000,086,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T17:17:00.000000,086,Warming Cycle Started,Cycle #1 for VAV '28',['temp'],1
2025-08-18T17:17:00.000000,086,VAV Action (Warming),VAV '28' not at min. Decreasing flow setpoint by 10%,['temp'],1
2025-08-18T17:20:00.000000,120,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T17:20:00.000000,120,Warming Cycle Started,Cycle #1 for VAV '04',['temp'],1
2025-08-18T17:20:00.000000,120,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T17:35:00.000000,047,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T17:35:00.000000,047,Warming Cycle Started,Cycle #1 for VAV '19',['temp'],1
2025-08-18T17:35:00.000000,047,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T17:38:00.000000,047,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:40:00.000000,107,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:43:00.000000,067,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T17:43:00.000000,067,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T17:43:00.000000,086,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:46:00.000000,067,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:54:00.000000,120,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T17:56:00.000000,101,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T17:56:00.000000,101,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T18:01:00.000000,047,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T18:01:00.000000,047,Warming Cycle Started,Cycle #1 for VAV '19',['temp'],1
2025-08-18T18:01:00.000000,047,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T18:02:00.000000,101,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T18:16:00.000000,120,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T18:16:00.000000,120,Warming Cycle Started,Cycle #1 for VAV '04',['temp'],1
2025-08-18T18:16:00.000000,120,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T18:16:00.000000,107,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T18:16:00.000000,107,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T18:19:00.000000,107,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T18:23:00.000000,120,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T18:30:00.000000,120,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T18:30:00.000000,120,Warming Cycle Started,Cycle #1 for VAV '04',['temp'],1
2025-08-18T18:30:00.000000,120,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T18:30:00.000000,107,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T18:30:00.000000,107,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T18:31:00.000000,061,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T18:31:00.000000,061,Warming Cycle Started,Cycle #1 for VAV '07',['temp'],1
2025-08-18T18:31:00.000000,061,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T18:31:00.000000,107,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:01:00.000000,101,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T19:01:00.000000,101,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T19:02:00.000000,071,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:03:00.000000,101,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:04:00.000000,120,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:06:00.000000,058,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:07:00.000000,117,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:09:00.000000,111,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:10:00.000000,046,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:11:00.000000,057,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:12:00.000000,062,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:13:00.000000,061,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:21:00.000000,047,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:22:00.000000,042,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:22:00.000000,078,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:23:00.000000,066,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:23:00.000000,097,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:25:00.000000,101,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T19:25:00.000000,101,Branch A Skipped,No VAV mapping found,['tvoc'],1
2025-08-18T19:35:00.000000,066,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T19:35:00.000000,066,Dilution Cycle Started,Cycle #1 for VAV '30',['tvoc'],1
2025-08-18T19:35:00.000000,066,VAV Action,VAV '30' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T19:41:00.000000,111,Branch Routing,Pollutant alert. Routing to Branch A.,['pm2_5'],0
2025-08-18T19:41:00.000000,111,Branch A Skipped,No VAV mapping found,['pm2_5'],1
2025-08-18T19:43:00.000000,085,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:49:00.000000,060,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:49:00.000000,107,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T19:49:00.000000,107,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T19:50:00.000000,077,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:52:00.000000,055,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T19:57:00.000000,075,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T19:57:00.000000,075,Branch A Skipped,No VAV mapping found,['tvoc'],1
2025-08-18T19:59:00.000000,063,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:00:00.000000,097,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:00:00.000000,097,Dilution Cycle Started,Cycle #1 for VAV '32',['tvoc'],1
2025-08-18T20:00:00.000000,097,VAV Action,VAV '32' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T20:11:00.000000,050,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:15:00.000000,071,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T20:15:00.000000,071,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T20:16:00.000000,045,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:16:00.000000,066,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:16:00.000000,066,Dilution Cycle Started,Cycle #1 for VAV '30',['tvoc'],1
2025-08-18T20:16:00.000000,066,VAV Action,VAV '30' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T20:17:00.000000,094,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:17:00.000000,094,Dilution Cycle Started,Cycle #1 for VAV '36',['tvoc'],1
2025-08-18T20:17:00.000000,094,PAD Action,VAV at max. PAD/FAD not at max. Increasing opening by 5%,['tvoc'],1
2025-08-18T20:20:00.000000,059,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:20:00.000000,059,Dilution Cycle Started,Cycle #1 for VAV '01b',['tvoc'],1
2025-08-18T20:20:00.000000,059,PAD Action,VAV at max. PAD/FAD not at max. Increasing opening by 5%,['tvoc'],1
2025-08-18T20:24:00.000000,070,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:25:00.000000,095,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:29:00.000000,071,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:33:00.000000,047,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:33:00.000000,047,Dilution Cycle Started,Cycle #1 for VAV '19',['tvoc'],1
2025-08-18T20:33:00.000000,047,VAV Action,VAV '19' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T20:37:00.000000,052,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:38:00.000000,071,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T20:38:00.000000,071,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T20:41:00.000000,051,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:43:00.000000,052,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:43:00.000000,052,Dilution Cycle Started,Cycle #1 for VAV '15',['tvoc'],1
2025-08-18T20:43:00.000000,052,VAV Action,VAV '15' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T20:45:00.000000,044,Normalization,Comfort Restored! Temperature is normal.,"",0
2025-08-18T20:51:00.000000,049,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:51:00.000000,049,Dilution Cycle Started,Cycle #1 for VAV '21',['tvoc'],1
2025-08-18T20:51:00.000000,049,PAD Action,VAV at max. PAD/FAD not at max. Increasing opening by 5%,['tvoc'],1
2025-08-18T20:51:00.000000,063,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T20:51:00.000000,063,Warming Cycle Started,Cycle #1 for VAV '23',['temp'],1
2025-08-18T20:51:00.000000,063,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T20:54:00.000000,067,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T20:54:00.000000,067,Branch A Skipped,No VAV mapping found,['tvoc'],1
2025-08-18T20:55:00.000000,117,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
